geo_type,region,transportation_type,alternative_name,sub-region,country,Date,Frequency
city,Charlotte,driving,NA,North Carolina,United States,2021-01-30,129.24
city,Charlotte,driving,NA,North Carolina,United States,2021-01-31,86.71
city,Charlotte,driving,NA,North Carolina,United States,2021-02-01,103.1
city,Charlotte,driving,NA,North Carolina,United States,2021-02-02,106.2
city,Charlotte,driving,NA,North Carolina,United States,2021-02-03,111.47
city,Charlotte,driving,NA,North Carolina,United States,2021-02-04,111.65
city,Charlotte,driving,NA,North Carolina,United States,2021-02-05,129.03
city,Charlotte,driving,NA,North Carolina,United States,2021-02-06,126.19
city,Charlotte,driving,NA,North Carolina,United States,2021-02-07,89.63
city,Charlotte,driving,NA,North Carolina,United States,2021-02-08,105.39
city,Charlotte,driving,NA,North Carolina,United States,2021-02-09,109.57
city,Charlotte,driving,NA,North Carolina,United States,2021-02-10,110.88
city,Charlotte,driving,NA,North Carolina,United States,2021-02-11,113.4
city,Charlotte,driving,NA,North Carolina,United States,2021-02-12,133.34
city,Charlotte,driving,NA,North Carolina,United States,2021-02-13,129.35
city,Charlotte,driving,NA,North Carolina,United States,2021-02-14,102.52
city,Charlotte,driving,NA,North Carolina,United States,2021-02-15,100.98
city,Charlotte,driving,NA,North Carolina,United States,2021-02-16,108.31
city,Charlotte,driving,NA,North Carolina,United States,2021-02-17,112.92
city,Charlotte,driving,NA,North Carolina,United States,2021-02-18,100
city,Charlotte,driving,NA,North Carolina,United States,2021-02-19,131.24
city,Charlotte,driving,NA,North Carolina,United States,2021-02-20,135.44
city,Charlotte,driving,NA,North Carolina,United States,2021-02-21,99.44
